"fixed.acidity"	"volatile.acidity"	"citric.acid"	"residual.sugar"	"chlorides"	"free.sulfur.dioxide"	"total.sulfur.dioxide"	"density"	"pH"	"sulphates"	"alcohol"
8	0.25	0.26	14	0.043	41	248	0.9986	3.03	0.57	8.7
8	0.25	0.43	1.7	0.067	22	50	0.9946	3.38	0.6	11.9
8.1	0.545	0.18	1.9	0.08	13	35	0.9972	3.3	0.59	9
8.2	0.22	0.3	1.8	0.047	47	185	0.9933	3.13	0.5	10.2
8.2	0.23	0.42	1.9	0.069	9	17	0.99376	3.21	0.54	12.3
8.2	0.24	0.34	5.1	0.062	8	22	0.9974	3.22	0.94	10.9
8.2	0.24	0.49	9.3	0.038	52	163	0.9952	3.02	0.33	10.6
8.2	0.34	0.38	2.5	0.08	12	57	0.9978	3.3	0.47	9
8.3	0.28	0.48	2.1	0.093	6	12	0.99408	3.26	0.62	12.4
8.3	0.6	0.25	2.2	0.118	9	38	0.99616	3.15	0.53	9.8
8.3	0.705	0.12	2.6	0.092	12	28	0.9994	3.51	0.72	10
8.4	0.23	0.49	7.8	0.035	22	95	0.9935	3.04	0.34	12
8.4	0.37	0.43	2.3	0.063	12	19	0.9955	3.17	0.81	11.2
8.4	0.56	0.04	2	0.082	10	22	0.9976	3.22	0.44	9.6
8.5	0.16	0.35	1.6	0.039	24	147	0.9935	2.96	0.36	10
8.5	0.21	0.26	9.25	0.034	73	142	0.9945	3.05	0.37	11.4
8.5	0.66	0.2	2.1	0.097	23	113	0.99733	3.13	0.48	9.2
8.6	0.37	0.65	6.4	0.08	3	8	0.99817	3.27	0.58	11
8.6	0.49	0.51	2	0.422	16	62	0.9979	3.03	1.17	9
8.6	0.55	0.09	3.3	0.068	8	17	0.99735	3.23	0.44	10
8.7	0.23	0.32	13.4	0.044	35	169	0.99975	3.12	0.47	8.8
8.7	0.69	0	3.2	0.084	13	33	0.9992	3.36	0.45	9.4
8.7	0.78	0.51	1.7	0.415	12	66	0.99623	3	1.17	9.2
8.8	0.34	0.33	9.7	0.036	46	172	0.9966	3.08	0.4	10.2
8.9	0.59	0.39	2.3	0.095	5	22	0.9986	3.37	0.58	10.3
9	0.45	0.49	2.6	0.084	21	75	0.9987	3.35	0.57	9.7
9	0.58	0.25	2.8	0.075	9	104	0.99779	3.23	0.57	9.7
9.1	0.21	0.37	1.6	0.067	6	10	0.99552	3.23	0.58	11.1
9.1	0.22	0.24	2.1	0.078	1	28	0.999	3.41	0.87	10.3
9.1	0.28	0.49	2	0.059	10	112	0.9958	3.15	0.46	10.1
9.2	0.46	0.23	2.6	0.091	18	77	0.99922	3.15	0.51	9.4
9.3	0.39	0.44	2.1	0.107	34	125	0.9978	3.14	1.22	9.5
9.5	0.42	0.41	2.3	0.034	22	145	0.9951	3.06	0.52	11
9.6	0.68	0.24	2.2	0.087	5	28	0.9988	3.14	0.6	10.2
9.7	0.32	0.54	2.5	0.094	28	83	0.9984	3.28	0.82	9.6
9.8	1.24	0.34	2	0.079	32	151	0.998	3.15	0.53	9.5
9.9	0.72	0.55	1.7	0.136	24	52	0.99752	3.35	0.94	10
